what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363012738984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363012750921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363012752511
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363012867079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012869901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012870096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012870410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012880298
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363012882820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012889564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012889773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012889978
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1363012894979
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1363012895130
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1363012895180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012895831
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363012903800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012906025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012906220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012906477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012909341
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363012915776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012917367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012917602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012917815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012920968
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363012926125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012936777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012936990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012937215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012940296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363012974431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363012977404
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363012986711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012989147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012989322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012989581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363012992703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363013001651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363013031702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363013033435
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363013084428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363013089162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363013089361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363013089606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363013095496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363013218252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363013221889
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363013316066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363013319250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363013323666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363013366459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363013412280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363013415390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1363013482876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363013488723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363013620427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363013624765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363013628340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363013640149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363013733681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363013904452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363013906020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363013906324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363013936134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363014048337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363014141339
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363014186573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363014193918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363014208690
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363014208882
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363014208943
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363014212611
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363014212824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363014217742
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363014219139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363014222431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1363014258741
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1363014259242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363014291928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363014293090
