what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362992926637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362992929160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362992939905
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362992945538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362992945882
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362992967691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362992967774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362992967918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362992979693
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362992979901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362992987284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362992998787
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362993003816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993004105
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362993025665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993025749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993025880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993033160
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362993033377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362993056083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362993062159
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362993071300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993071588
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362993093160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993093260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993094406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993100550
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362993103277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362993111147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362993113829
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362993118151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993118443
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362993140159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993140230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993140364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993145941
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362993151035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362993156243
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362993161137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993161422
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362993183093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993183172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993183298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993194899
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362993195050
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362993202776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362993214960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362993217096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362993219838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362993229610
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362993234028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993234321
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362993256163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993256242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993256378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993273409
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362993274404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362993306035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362993315038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993317821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362993321918
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362993325495
